Day 56,
COMMON VERB + PREP Combinations,
VERB + 'in',
be engaged in,bir işle meşgul olmak
be involved in,"dahil olmak, kapsamına girmek"
believe in,inanmak
interfere in,"müdahale etmek, karışmak"
invest in,yatırım yapmak
participate in,katılım sağlamak
persist in,"sürmek, devam etmek"
specialize in,bir alanda uzmanlaşmak
succeed in,"başarmak, başarılı olmak"
take part in,katılım sağlamak
absorb in,"emmek, içine çekmek"
VERB + 'on',
agree on,üzerinde uzlaşmak
argue on,üzerinde tartışmak
be based on/upon,-e dayalı olmak
comment on,üzerine yorum yapmak
concentrate on,odaklanmak
depend on/upon,"güvenmek, bağlı olmak"
focus on,odaklanmak
insist on,ısrarcı olmak
rely on,"güvenmek, bel bağlamak"
spend on,harcamak
waste on,boşa harcamak
work on,üzerine çalışma yapmak
decide on,karar vermek
congratulate on,tebrik etmek
VERB + 'at',
aim at,"hedeflemek, amaçlamak"
bark at,havlamak
laugh at,gülmek
look at,bakmak
smile at,gülmek
stare at,gözlerini dikerek bakmak
VERB + 'of',
accuse of,suçlamak
approve of,onaylamak
be composed of,"-den oluşmak, içermek, kapsamak"
consist of,"-den oluşmak, içermek, kapsamak"
dream of,hayal etmek
hear of,"duymak, işitmek"
take advantage of,"yararlanmak, faydalanmak"
make use of,"yararlanmak, faydalanmak"
be made of,-den yapılmak
be proud of,gurur duymak
be tired of,-den yorulmak
be afraid of,korkmak
be aware of,farkında olmak
be capable of,yapabilmek
be envious of,kıskanmak
be fond of,düşkün olmak
be of,sahip olmak
VERB + 'for',
apologize for sth,(bir şey için) özür dilemek
apply for,başvurmak
ask for,"istemek, talep etmek"
beg for,yalvarmak
blame smb for sth,(birini bir şey ile) suçlamak
care for,"umursamak, ilgilenmek"
fight for,(bir şey için) savaşmak
long for,özlemek
mistake for,"karıştırmak, sanmak, zannetmek"
pay for,"ödeme yapmak, parasını ödemek"
provide sth for smb,(birisi için bir şey) sağlamak
remember for,(birini bir şey ile) hatırlamak
search for,aramak
substitute for,"yerine geçmek, yerini almak"
vote for,lehine oy kullanmak
wait for,"beklemek, yolunu gözlemek"
yearn for,"can atmak, çok istemek"
be famous for,"ünlü olmak, bilinmek"
stand for,"simgelemek, temsil etmek"
look for,aramak
arrest smb for,tutuklamak
pray for,dua etmek
VERB + 'about',
be concerned about,"endişelenmek, kaygılanmak"
be worried about,"endişelenmek, kaygılanmak"
be anxious about,"endişelenmek, kaygılanmak"
dream about,hayal etmek
hear about,"duymak, işitmek"
talk about,konuşmak
think about,düşünmek
forget about,unutmak
boast about,övünmek
complain about,şikayet etmek
VERB + 'with',
agree with smb,"hemfikir olmak, katılmak"
associate with,ilişkilendirmek
charge sb with sth,birini bir şey ile suçlamak
coincide with,"ile çakışmak, tesadüf etmek"
collide with,çarpışmak
compare with,bir şeyi bir şey ile kıyaslamak
compete with,"rekabet etmek, yarışmak"
confront with,"ile yüzleşmek, karşılaşmak"
face with,"ile yüzleşmek, karşılaşmak"
help with,yardımcı olmak
interfere with,"müdahale etmek, karışmak"
provide smb with sth,birisine bir şey sağlamak
cope with,"uğraşmak, başa çıkmak"
deal with,ilgilenmek
be satisfied with,memnun/tatmin olmak
be concerned with,ile ilgili olmak
be content with,ile yetinmek
be equipped with,ile donatmak
be familiar with,"aşina olmak, tanımak"
comply with,"uymak, itaat etmek"
be blessed with,ile kutsanmak
be annoyed with smb,kızmak
be angry with smb,kızmak
be involved with,"dahil olmak, ilgilenmek"
quarrel with smb,tartışmak
VERB + 'to',
adapt to,"ayak uydurmak, uyum sağlamak"
adjust to,"ayak uydurmak, uyum sağlamak"
apologize to smb,birisinden özür dilemek
attribute to,"-e bağlamak, atfetmek, yormak"
be exposed to,-e maruz kalmak
belong to,-e ait olmak
consent to,-e razı olmak
contribute to,"katkıda bulunmak, sebep olmak"
dedicate to,adamak
devote to,adamak
appeal to,"çekici gelmek, cezbetmek"
object to,"karşı çıkmak, itiraz etmek"
react to,"tepki vermek, yanıt vermek"
respond to,"yanıt vermek, cevap vermek"
subject to,maruz bırakmak
conform to,"uymak, itaat etmek"
stick to,"uymak, itaat etmek"
lead to,"neden olmak, -e yol açmak"
give rise to,"neden olmak, -e yol açmak"
refer to,"gönderme yapmak, atıfta bulunmak"
be addicted to,bağımlı olmak
tend to,eğiliminde olmak
consent to,razı olmak
resort to,-e başvurmak
add to,eklemek
confess to,itiraf etmek
adhere to,"yapışmak, bağlı olmak"
react to,-e tepki vermek
VERB + 'from',
arise from,-den kaynaklanmak
benefit from,"-den faydalanmak, yararlanmak"
derive from,-den türemek
deter from,"caymak, vazgeçmek"
differ from,"-den farklılık göstermek, farklı olmak"
distinguish from,ayırmak
emerge from,-den kaynaklanmak
expel from,"kovmak, atmak, ihraç etmek"
infer from,"çıkarım yapmak, sonuç çıkarmak"
originate from,"-den türemek, -den gelmek"
prevent from,"engellemek, önlemek"
recover from,"iyileşmek, kurtulmak"
resign from,görevinden istifa etmek
result from,-den kaynaklanmak
suffer from,"-den mustarip olmak, acı çekmek"
refrain from,-den kaçınmak
abstain from,-den kaçınmak
be made from,-den yapılmak
stem from,"-den doğmak, ortaya çıkmak"
prohibit from,-den yasaklamak
VERB + 'over',
agree over,üzerinde uzlaşmak
argue over,üzerinde tartışmak
be over,"bitmek, sona ermek"
check over,"incelemek, denetlemek"
spread over,yayılmak
VERB + 'into',
break into,"zorla girmek (hırsız, polis...)"
change sth into sth,bir şeyi bir şeye dönüştürmek
convert sth into sth,bir şeyi bir şeye dönüştürmek
penetrate into,"nüfuz etmek, içerisinden geçmek"
transform sth into sth,bir şeyi bir şeye dönüştürmek
turn sth into sth,bir şeyi bir şeye dönüştürmek
VERB + 'against',
vote against,aleyhine oy vermek
discriminate against,ayrımcılık yapmak
insure against,sigorta yapmak
warn against,uyarmak
struggle against,çabalamak
rebel against,isyan etmek
react against,tepki vermek
VERB + 'between',
distinguish between,ayırt etmek
choose between,seçim yapmak
VERB + 'out of',
develop out of,-den ortaya çıkmak
VERB + 'by',
abide by,"uymak, itaat etmek"
COMMON ADJ + PREP Combinations,
ADJ + 'in',
deficient in,"... bakımından eksik, yetersiz"
experienced in,"-de tecrübeli, deneyimli"
interested in,"ile ilgili, alakadar"
rich in,... bakımından zengin
ADJ + 'on',
dependent on,"-e bağımlı, bağlı"
keen on,"-e düşkün, meraklı, istekli"
ADJ + 'at',
angry at,"-e kızgın, sinirli"
annoyed at,"-e kızgın, sinirli"
bad at,"-de kötü, başarısız"
delighted at,-den memnun
good at,"-de iyi, başarılı"
skilful at,-de becerikli
surprised at,"-e şaşırmış, şaşkın"
ADJ + 'of',
afraid of,-den korkan
ashamed of,-den utanmış
aware of,-nın farkında
bored of,-den sıkılmış
capable of,-yı yapabilir
conscious of,-nın bilincinde; farkında
devoid of,"-den yoksun, mahrum"
envious of,"-i kıskanan, kıskanç"
fond of,-e düşkün
frightened of,-den korkan; korkak
full of,ile dolu
guilty of,-den suçlu
ignorant of,"-den habersiz, bihaber"
proud of,-dan gururlu
scared of,"-den korkan, korkak"
short of,-den yoksun
suspicious of,-den şüpheli
tired of,-den bıkmış
unaware of,"-den habersiz, bihaber"
unconscious of,"-den habersiz, bihaber"
ADJ + 'for',
accountable for,"-den sorumlu, mesul"
appropriate for,... için uygun
available for,"... için mevcut, hazır"
eager for,"... için istekli, hevesli, meraklı"
eligible for,"-e uygun, seçilebilir"
essential for,"... için gerekli, esas, temel"
famous for,-sıyla ünlü
grateful for smt,... için minnettar
known for,-sıyla bilinen
liable for,-den sorumlu
necessary for,... için gerekli
notorious for,"-den adı çıkmış, kötü ünlenmiş"
ready for,... için hazır
responsible for,-den sorumlu
suitable for,... için uygun
ADJ + 'about',
anxious about,"... hakkında endişeli, kaygılı"
concerned about,"... hakkında endişeli, kaygılı"
curious about,... hakkında meraklı
enthusiastic about,"... hakkında istekli, hevesli"
excited about,... hakkında heyecanlı
optimistic about,... hakkında iyimser
pessimistic about,"... hakkında karamsar, kötümser"
worried about,"... hakkında endişeli, kaygılı"
ADJ + 'from',
different from,-den farklı
distinct from,-den ayrı
separate from,-den ayrı
tired from,"-den yorulmuş, yorgun"
ADJ + 'with',
acquainted with,"-e aşina, tanıdık"
angry with smb,"(birine) kızgın, sinirli"
annoyed with,"(birine) kızgın, sinirli"
associated with,ile ilgili
busy with,ile meşgul
careful with,dikkatli
compatible with,ile uyumlu
concerned with,ile ilgili
confronted with,"ile yüzleşmiş, karşı karşıya kalmış"
consistent with,ile uyumlu
content with,"-den memnun, hoşnut"
delighted with,"-den memnun, hoşnut"
disappointed with,-den hayal kırıklığına uğramış
equipped with,ile donatılmış
familiar with smt,-e aşina
furnished with,ile donatılmış
obsessed with,"-e takıntılı, saplantılı"
patient with,-e karşı sabırlı
pleased with,"-den memnun, hoşnut"
satisfied with,"-den memnun, hoşnut"
ADJ + 'to',
accustomed to,-e alışkın
addicted to,-e bağımlı
adjacent to,"-e bitişik, yakın"
akin to,-e benzer
apt to,"-e eğilimli, meyilli"
attached to,-e bağlı
beneficial to,"-e faydalı, yararlı"
close to,-e yakın
committed to,-e kendini adamış
equivalent to,-e eşit
faithful to,"-e sadık, vefalı"
familiar to smb,-e aşina
grateful to smb,-e minnettar
hostile to,-e karşı düşmanca
identical to,-e benzer
immune to,-e bağışıklığı olan
indifferent to,"-e ilgisiz, kayıtsız"
inferior to,"-e göre daha kalitesiz, niteliksiz"
kind to,"-e karşı nazik, kibar"
liable to,"-e eğilimli, meyilli"
limited to,ile sınırlı
married to,ile evli
obliged to,ile yükümlü
oblivious to,"-den habersiz, bihaber"
prone to,"-e eğilimli, meyilli"
related to,ile ilişkili
relevant to,ile ilgili
sensitive to,"-e karşı korunmasız, hassas"
similar to,-e benzer
superior to,"-e göre daha üstün, daha nitelikli"
susceptible to,"-e karşı korunmasız, hassas"
vulnerable to,"-e karşı korunmasız, hassas"
COMMON NOUN + PREP Combinations,
NOUN + 'in',
belief in,-e inanç
decrease in,"-de azalma, düşüş"
delay in,-de gecikme
difficulty in,"-de sıkıntı, zorluk"
experience in,"-de tecrübe, deneyim"
expert in,-de uzman
fall in,"-de azalma, düşüş"
increase in,"-de artış, yükselme"
interest in,-e ilgi
reduction in,"-de azalma, düşüş"
rise in,"-de artış, yükselme"
change in,-de değişiklik
reduction in,-de kısaltma
NOUN + 'on',
advice on,ile ilgili tavsiye
agreement on,"üzerinde anlaşma, uzlaşı"
article on,hakkında makale
assault on,-e saldırı
attack on,-e saldırı
authority on,"-de otorite, yetki"
ban on,-e yasaklama
recommendation on,hakkında tavsiye
debate on,hakkında tartışma
decision on,hakkında karar
dependence on,"-e bağımlılık, bağlılık"
effect on,üzerinde etki
emphasize on,-e vurgu
expert on,-de uzman
impact on,üzerinde etki
influence on,üzerinde etki
information on,üzerine bilgi
interest on,-e uygulanan faiz
opinion on,"üzerine fikir, düşünce"
report on,üzerine haber
research on,hakkında araştırma
restriction on,-ya kısıtlama
stress on,-e vurgu
tax on,-e vergi
NOUN + 'at',
anger at smt,-e kızgınlık
expert at,-de uzman
NOUN + 'of',
advantage of,-nın avantajı
awareness of,-nın farkındalığı
difference of,-nin farkı
example of,-nın örneği
fear of,-nin korkusu
habit of,-nın alışkanlığı
intention of,-nın niyeti
NOUN + 'between',
bond between,"... arasındaki bağ, ilişki"
comparison between,"arasında kıyaslama, karşılaştırma"
connection between,... arasındaki ilişki
contrast between,... arasındaki zıtlık
difference between,... arasındaki fark
link between,"... arasındaki bağlantı, ilişki"
relationship between,... arasındaki ilişki
similarity between,... arasındaki benzerlik
NOUN + 'against',
fight against,-e karşı savaş
measure against,"-e karşı önlem, tedbir"
precaution against,"-e karşı önlem, tedbir"
protection against,-e karşı koruma
step against,"-e karşı önlem, tedbir"
struggle against,-e karşı mücadele
action against,"-e karşı önlem, tedbir"
NOUN + 'into',
inquiry into,"-e dair araştırma, soruşturma"
investigation into,"-e dair inceleme, soruşturma"
research into,-e dair araştırma
NOUN + 'for',
acclaim for,"için beğeni, övgü"
admiration for,-e hayranlık
application for,için başvuru
cure for,için tedavi
demand for,-e talep
desire for,"için istek, arzu"
hope for,"için ümit, umut"
longing for,-e özlem
need for,-e ihtiyaç
order for,için sipariş / emir
passion for,için tutku
preference for,-e yönelik tercih
reason for,-nın sebebi
request for,"için rica, istek"
respect for,için saygı
responsibility for,-nın sorumluluğu
room for,için yer / alan
search for,için arayış
struggle for,için mücadele
NOUN + 'about',
agreement about,"hakkında anlaşma, uzlaşı"
anxiety about,"hakkında gerginlik, endişe, kaygı"
debate about,hakkında tartışma
decision about,hakkında karar
doubt about,hakkında şüphe
estimate about,hakkında tahmin
information about,hakkında bilgi
knowledge about,hakkında bilgi
opinion about,"hakkında fikir, düşünce"
NOUN + 'from',
citation from,-den alıntı
protection from,-den koruma
quotation from,-den alıntı
transition from,"-den geçiş, değişiklik"
NOUN + 'with',
association with,ile ilişki
connection with,"ile bağlantı, ilişki"
contrast with,ile zıtlık
difficulty with,"ile ilgili sıkıntı, problem"
matter with,"ile ilgili sıkıntı, problem"
obsession with,"-e takıntı, saplantı"
problem with,"ile ilgili sıkıntı, problem"
relationship with,ile ilişki
trouble with,"ile ilgili sıkıntı, problem"
NOUN + 'to',
access to,-e erişim
addiction to,-e bağımlılık
alternative to,-e alternatif
approach to,-e yaklaşım
attitude to / towards,"-e karşı tutum, tavır"
contribution to,-e katkı
damage to,"-e zarar, hasar"
devotion to,-e adama
exception to,-nın istisnası
invitation to,-e davet
reaction to,-e tepki
reference to,"-e atıf, referans"
relevance to,-e uygunluk
reply to,"-e cevap, yanıt"
response to,"-e cevap, yanıt"
solution to,-e çözüm
threat to,"-e tehdit, risk"
transition to,"-e geçiş, değişiklik"
NOUN + 'over',
advantage over,-e karşı avantaj
authority over,"üzerinde otorite, yetki"
control over,"üzerine denetim, kontrol"
effect over,üzerinde etki
impact over,üzerinde etki
influence over,üzerinde etki
PREP + NOUN COMBINATIONS,
'in' + NOUN,
in advance,önceden
in a nutshell,"özet olarak, kısaca"
in captivity,"tutsak, esir"
in cash,nakit olarak
in charge of,-den sorumlu
in conclusion,sonuç olarak
in touch,iletişim halinde
in danger,tehlikede
in debt,borçlu
in demand,rağbet gören
in retrospect,geri dönüp bakıldığında
in fashion,modaya uygun
in writing,yazılı olarak
in my opinion,"bana göre, bence"
in order,düzenli
in person,"şahsen, bizzat"
in progress,yapılmakta olan
in reality,"aslında, gerçekte"
in the end,"nihayet, sonunda"
in time,zamanından önce
in turn,"sırayla, nöbetleşe"
in vain,"boşuna, nafile"
in theory,teoride
in effect,yürürlükte
in force,"geçerli, yürürlükte"
in size,genişlik bakımından
in need,"ihtiyaç sahibi, ihtiyacı olan"
in practice,uygulamada
in peril,tehlike altında
'to my' + NOUN,
to my mind,"bana göre, bence"
to my surprise,beni şaşırtan
to my amazement,beni hayrete düşüren
'by' + NOUN,
by hand,"el ile, elden"
by cheque,çek ile
by law,kanunen
by heart,ezbere
by mistake,yanlışlıkla
by definition,tanımı gereği
by chance,kazara
by nature,"doğuştan, fıtrat gereği"
by the river,nehir kenarında
by air,hava yolları ile
'under' + NOUN,
under pressure,baskı altında
under the terms of,şartları altında
under the circumstances,şartlarına göre
under way,"yapılmakta, yolda"
under scrutiny,gözetim altında
'at' + NOUN,
at will,"keyfi, isteğe göre"
at profit / loss,karda; zararda
at any cost,ne pahasına olursa
at your convenience,size uygun zamanda
at short notice,kısa sürede
at issue,gündemde
at stake,tehlikede
at times,bazen; zaman zaman
at random,rastgele
'out of' + NOUN,
out of date,modası geçmiş
out of debt,borcu olmayan
out of order,"bozuk, çalışmayan"
out of question,imkansız
out of reach,"erişilmez, ulaşılmaz"
out of respect,saygıdan dolayı
out of sight,görünmeyen
'on' + NOUN,
on a diet,"diyette, rejimde"
on a trip,"seyahatte, gezide"
on duty,"görevde, nöbette"
on an expedition,seferde
on application,başvuru üzerine
on average,ortalama
on board,"gemide, trende"
on business,işiyle meşgul
on fire,"alev almış, yanan"
on foot,yürüyerek
on guard,savunmaya hazır
on hold,beklemede
on holiday / vacation,tatilde
on loan,ödünç olarak
on occasion,"bazen, gerektiğinde"
on order,sipariş üzerine
on purpose,kasıtlı olarak
on sale,satılık
on strike,grevde
on the increase,artışta
on the whole,her şey düşünüldüğünde
on time,tam zamanında
on air,canlı yayında
on the agenda,gündemde
on stage,sahnede
on demand,talep üzerine
on the face of it,görünüşe göre
on route,belli rotada
on the internet,internette
'for' + NOUN,
for sale,satılık
for the sake of,"hatırına, uğruna"
