Day 57,,
ADVERBIAL CLAUSES ÖZET TABLO,,
YAPI,ANLAMI,TÜRÜ
FANBOYS,,
FOR,ÇÜNKÜ,FANBOYS
AND,VE,FANBOYS
NOR,NE DE,FANBOYS
THEN,"SONRA, O ZAMAN",FANBOYS
BUT,FAKAT,FANBOYS
OR,"VEYA, YOKSA",FANBOYS
YET,FAKAT,FANBOYS
SO,BU YÜZDEN,FANBOYS
Paralel Yapılar,,
NOT ONLY...BUT (ALSO)...,"SADECE... DEĞİL, AYRICA...",PARALEL YAPI
BOTH...AND...,HEM...HEM DE,PARALEL YAPI
EITHER...OR...,YA...YA DA,PARALEL YAPI
NEITHER...NOR...,NE...NE DE,PARALEL YAPI
NOT...BUT...,...DEĞİL...DIR...,PARALEL YAPI
"""Zıtlık"" anlamı veren yapılar",,
"ALTHOUGH
EVEN THOUGH
MUCH AS
EVEN IF
WHILE
THOUGH
DESPITE THE FACT THAT
IN SPITE OF THE FACT THAT","-E RAĞMEN
-SA DA
-SA BİLE
-E KARŞIN",BAĞLAÇ
"DESPITE
IN SPITE OF","-E RAĞMEN
-SA DA
-SA BİLE
-E KARŞIN",EDAT
"HOWEVER + ADJ/ADV
NO MATTER HOW + ADJ/ADV",NE KADAR...SA...SIN,BAĞLAÇ
"WHEREAS
WHILE",İKEN / OYSAKİ,BAĞLAÇ
NOTWITHSTANDING,-E RAĞMEN / YİNE DE,BAĞLAÇ / CÜMLE ZARFI / EDAT
"Devamında ""Sebep"" bildiren yapılar",,
"BECAUSE
SINCE
AS
SEEING AS
SEEING THAT
INASMUCH AS
ON THE GROUNDS THAT
NOW THAT (madem ki, -dığına göre)
IN THAT (bakımından, açısından)","-DİĞİ İÇİN
ÇÜNKÜ",BAĞLAÇ
"BECAUSE OF
DUE TO
OWING TO
ON ACCOUNT OF
IN VIEW OF
THANKS TO
AS A RESULT OF
AS A CONSEQUENCE OF","-DEN DOLAYI
-NIN YÜZÜNDEN
-NIN SAYESİNDE
-NIN SONUCU OLARAK",EDAT
"Devamında ""Sonuç"" bildiren yapılar",,
"...SO...THAT
...SUCH...THAT",O KADAR...Kİ,"So + adj/adv + that SVO
Such + (adj) noun + that + SVO"
SO (THAT),BU YÜZDEN,FANBOYS
OTHERWISE,AKSİ TAKDİRDE,CÜMLE ZARFI
"""Amaç"" bildiren yapılar",,
"SO THAT
IN ORDER THAT","-MEK İÇİN
-SIN DİYE",BAĞLAÇ
"FOR FEAR THAT
LEST","-MESİN DİYE
KORKUSUYLA",BAĞLAÇ
Zaman ifadeleri,,
AFTER,-DEN SONRA,BAĞLAÇ / EDAT
BEFORE,-MEDEN ÖNCE,BAĞLAÇ / EDAT / CÜMLE ZARFI
"AS SOON AS
THE MOMENT",...R...RMAZ,BAĞLAÇ
WHEN,-DİĞİNDE,BAĞLAÇ
WHILE,-İKEN,BAĞLAÇ
ONCE,-BİR...SE / ...R...RMAZ,BAĞLAÇ / CÜMLE ZARFI
UNTIL / TILL,-E KADAR,BAĞLAÇ / EDAT
BY THE TIME,-E KADAR / -DEN ÖNCE,BAĞLAÇ
JUST AS,TAM...İKEN,BAĞLAÇ
THE LAST TIME,SON...DİĞİNDE,BAĞLAÇ
THE NEXT TIME,GELECEK SEFER...,BAĞLAÇ
"NO SOONER...THAN
HARDLY...WHEN","...R...RMAZ
-MESİYLE...-MASI BİR OLDU",CÜMLE BAŞINDA DEVRİK
"WHENEVER
EVERY TIME",HER...DİĞİNDE,BAĞLAÇ
"""Durum"" bildiren yapılar",,
JUST AS,-DİĞİ GİBİ,BAĞLAÇ
AS IF / AS THOUGH,-GİBİ / -MİŞ GİBİ,BAĞLAÇ
"""Öznel yargı"" bildiren yapılar",,
GIVEN THAT / CONSIDERING THAT,-MESİ DİKKATE ALINIRSA,BAĞLAÇ
GIVEN / CONSIDERING,-İ DÜŞÜNÜRSEK,EDAT
AS FAR AS / SO FAR AS,-DİĞİ KADARIYLA,BAĞLAÇ
"""Zıtlık"" bildiren yapılar",,
"HOWEVER
STILL
EVEN SO
NONETHELESS
NEVERTHELESS
ALL THE SAME","FAKAT
YİNE DE",CÜMLE ZARFI
"CONVERSELY
ON THE OTHER HAND
IN CONTRAST
BY CONTRAST","AKSİNE
DİĞER YANDAN",CÜMLE ZARFI
"IN CONTRAST TO / WITH
UNLIKE
CONTRARY TO",-NIN AKSİNE,EDAT
"Devamında ""Sonuç"" bildiren yapılar",,
"THEREFORE
THUS
HENCE
ACCORDINGLY
CONSEQUENTLY
AS A CONSEQUENCE
AS A RESULT
THEREBY","BU YÜZDEN
SONUÇ OLARAK",CÜMLE ZARFI
"""Ekleme"" anlamı veren yapılar",,
"ALSO
BESIDES
FURTHER
MOREOVER
FURTHERMORE
IN ADDITION
WHAT'S MORE","AYRICA
DAHASI
BUNA EK OLARAK",CÜMLE ZARFI
"BESIDES
IN ADDITION TO
APART FROM
AS WELL AS
ASIDE FROM","-NIN YANI SIRA
-E EK OLARAK",EDAT
"ALONG WITH
TOGETHER WITH
ALONGSIDE
COUPLED WITH","-NIN YANI SIRA
-E EK OLARAK",EDAT
"""Zaman"" ifadeleri",,
"AT FIRST / INITIALLY
AFTERWARDS
IN THE MEANTIME
MEANWHILE","İLK OLARAK, BAŞTA
DAHA SONRA
BU SÜREDE
BU ESNADA",CÜMLE ZARFI
"""Örnekleme"" yapıları",,
"FOR INSTANCE
FOR EXAMPLE
TO ILLUSTRATE",ÖRNEĞİN,CÜMLE ZARFI
"""Özellikle"" anlamı veren yapılar",,
"IN PARTICULAR
PARTICULARLY
ESPECIALLY
NOTABLY
SPECIFICALLY",ÖZELLİKLE,CÜMLE ZARFI
"""Diğer bir deyişle"" anlamı veren yapılar",,
"THAT IS
NAMELY
IN OTHER WORDS",DİĞER BİR DEYİŞLE,AÇIKLAMA ZARFI
"""Benzetme"" anlamı veren yapılar",,
"LIKEWISE
SIMILARLY","AYNI ŞEKİLDE, BUNUN GİBİ",CÜMLE ZARFI
"""Vurgu"" anlamı veren yapılar",,
"IN FACT
INDEED
ACTUALLY
AS A MATTER OF FACT
AS SUCH","HATTA
ASLINDA",CÜMLE ZARFI
"""Çürütme"" anlamı veren yapılar",,
ON THE CONTRARY,AKSİNE / BİLAKİS,CÜMLE ZARFI
"""-e gelince / ile ilgili"" anlamı veren yapılar",,
"AS FOR
WHEN IT COMES TO
WITH REGARD TO
WITH RESPECT TO
IN THE CASE OF",-E GELİNCE,EDAT
"ABOUT
AS TO
CONCERNING
REGARDING
AS REGARDS
PERTAINING TO",İLE İLGİLİ,EDAT
"""Özetleme"" yapıları",,
"IN SUMMARY
IN BRIEF
IN SHORT
IN CONCLUSION
TO SUM UP
TO WRAP UP
ALL IN ALL","KISACA
ÖZET OLARAK",CÜMLE ZARFI
"""Hariç"" anlamı veren yapılar",,
"EXCEPT THAT
SAVE THAT",HARİÇ,BAĞLAÇ
"""-den hariç"" anlamı veren yapılar",,
"EXCEPT (FOR)
BUT
APART FROM
SAVING","-DEN HARİÇ
-DEN BAŞKA",EDAT
"""Aracılığıyla"" anlamı veren yapılar",,
"BY
VIA
THROUGH
BY MEANS OF
WITH THE HELP OF","-NIN ARACILIĞIYLA
-NIN YARDIMIYLA",EDAT
"""-e bakılmaksızın"" anlamına gelen yapılar",,
"IRRESPECTIVE OF
REGARDLESS OF",-E BAKILMAKSIZIN,EDAT
"""-den ziyade, yerine"" anlamına gelen yapılar",,
RATHER THAN,-DEN ZİYADE,EDAT
INSTEAD / RATHER,YERİNE / - DAHA ZİYADE,CÜMLE ZARFI
INSTEAD OF,-NIN YERİNE,EDAT
